m_matlab,q_matlab,m_vivado,q_vivado,error_abs_m,error_abs_q,error_rel_m,error_rel_q
346.784301757812,-0.817228317260742,346.784790039062,-0.817229270935059,0.00048828125,9.5367431640625e-07,1.40802581756139e-06,-1.1669619080294e-06
299.580810546875,1.46293210983276,299.580688476562,1.46293258666992,0.0001220703125,4.76837158203125e-07,4.07470399312842e-07,3.25946197364986e-07
316.946166992188,0.246009349822998,316.946166992188,0.246007442474365,0,1.9073486328125e-06,0,7.75315504953297e-06
302.337768554688,1.22011661529541,302.337524414062,1.22011947631836,0.000244140625,2.86102294921875e-06,8.07509515490253e-07,2.3448766399481e-06
159.906127929688,1.07156753540039,159.906372070312,1.07156658172607,0.000244140625,9.5367431640625e-07,1.52677466561726e-06,8.89980598422954e-07
238.102294921875,-0.613847732543945,238.101806640625,-0.61384391784668,0.00048828125,3.814697265625e-06,2.0507204693689e-06,-6.21440312211613e-06
321.980102539062,0.226715564727783,321.980102539062,0.22671365737915,0,1.9073486328125e-06,0,8.41295847994666e-06
252.40283203125,0.718373775482178,252.40283203125,0.71837329864502,0,4.76837158203125e-07,0,6.63773058646341e-07
167.4609375,-0.263643264770508,167.460693359375,-0.263647079467773,0.000244140625,3.814697265625e-06,1.45789596454397e-06,-1.44691625972147e-05
260.8544921875,-0.0769481658935547,260.854858398438,-0.0769472122192383,0.0003662109375,9.5367431640625e-07,1.40388971042435e-06,-1.23937238182584e-05
208.403686523438,0.462256908416748,208.404052734375,0.462256908416748,0.0003662109375,0,1.75721909534847e-06,0
445.32568359375,-1.02837133407593,445.326049804688,-1.0283727645874,0.0003662109375,1.43051147460938e-06,8.22344075339875e-07,-1.39104565365467e-06
295.395751953125,0.0631680488586426,295.3955078125,0.0631694793701172,0.000244140625,1.43051147460938e-06,8.26486580750632e-07,2.26461241158576e-05
278.207763671875,-0.416286468505859,278.20751953125,-0.416282653808594,0.000244140625,3.814697265625e-06,8.77547850490418e-07,-9.16363503074399e-06
216.382568359375,-0.0466518402099609,216.382690429688,-0.0466494560241699,0.0001220703125,2.38418579101562e-06,5.64141157143776e-07,-5.11059323766303e-05
257.005615234375,-0.152235507965088,257.005859375,-0.152235984802246,0.000244140625,4.76837158203125e-07,9.49942765948352e-07,-3.13223350174309e-06
250.567016601562,-0.482352733612061,250.567138671875,-0.482354164123535,0.0001220703125,1.43051147460938e-06,4.87176301795975e-07,-2.96569579671935e-06
228.330444335938,-0.0649056434631348,228.33056640625,-0.0649089813232422,0.0001220703125,3.33786010742188e-06,5.34621271618079e-07,-5.14263464519494e-05
333.6767578125,-1.01652479171753,333.6767578125,-1.01652908325195,0,4.29153442382812e-06,0,-4.22177054489454e-06
400.478881835938,0.244396209716797,400.479248046875,0.244393348693848,0.0003662109375,2.86102294921875e-06,9.14432580867083e-07,1.17064947632947e-05
434.060180664062,-0.539686679840088,434.059936523438,-0.539684295654297,0.000244140625,2.38418579101562e-06,5.62458008994266e-07,-4.41772213411321e-06
261.221313476562,-1.02131271362305,261.221435546875,-1.021315574646,0.0001220703125,2.86102294921875e-06,4.67306097176303e-07,-2.80131923460488e-06
249.154541015625,-0.525170803070068,249.154418945312,-0.52517032623291,0.0001220703125,4.76837158203125e-07,4.89938140410392e-07,-9.07965856851919e-07
369.820068359375,-0.198468208312988,369.819946289062,-0.198467254638672,0.0001220703125,9.5367431640625e-07,3.30080282126219e-07,-4.80517421159104e-06
278.90673828125,1.08009910583496,278.906616210938,1.08010196685791,0.0001220703125,2.86102294921875e-06,4.37674303791485e-07,2.64885225231907e-06
401.441040039062,-0.483035087585449,401.440795898438,-0.483036041259766,0.000244140625,9.5367431640625e-07,6.08160603052054e-07,-1.97433756039005e-06
298.3212890625,-0.573451995849609,298.321044921875,-0.573451995849609,0.000244140625,0,8.18381503268616e-07,-0
214.236206054688,-0.770759105682373,214.236206054688,-0.770763397216797,0,4.29153442382812e-06,0,-5.5679321751622e-06
300.702880859375,0.362361907958984,300.703247070312,0.362362861633301,0.0003662109375,9.5367431640625e-07,1.21784978066525e-06,2.63182827846849e-06
414.796875,-0.131231307983398,414.797241210938,-0.131233215332031,0.0003662109375,1.9073486328125e-06,8.82868120691604e-07,-1.45342499600308e-05
306.89306640625,-0.892592430114746,306.893188476562,-0.89259147644043,0.0001220703125,9.5367431640625e-07,3.977617152758e-07,-1.06843200124793e-06
411.382934570312,-0.359682559967041,411.382934570312,-0.359682083129883,0,4.76837158203125e-07,0,-1.32571664927768e-06
266.084106445312,-0.608540534973145,266.084594726562,-0.608539581298828,0.00048828125,9.5367431640625e-07,1.83506356889586e-06,-1.56715002797363e-06
337.45654296875,-0.531424522399902,337.456787109375,-0.531424045562744,0.000244140625,4.76837158203125e-07,7.23472785124242e-07,-8.97281058935215e-07
342.358520507812,-1.66145849227905,342.358764648438,-1.66146230697632,0.000244140625,3.814697265625e-06,7.13113915312731e-07,-2.29599311890862e-06
206.982055664062,0.508179664611816,206.982299804688,0.508179664611816,0.000244140625,0,1.17952555943423e-06,0
338.615966796875,0.327307224273682,338.616455078125,0.327304363250732,0.00048828125,2.86102294921875e-06,1.4419912168315e-06,8.74109319025135e-06
312.298583984375,-0.972679615020752,312.298461914062,-0.972678184509277,0.0001220703125,1.43051147460938e-06,3.90876932397835e-07,-1.47069132787249e-06
259.190795898438,-0.679534435272217,259.19091796875,-0.6795334815979,0.0001220703125,9.5367431640625e-07,4.70967003580762e-07,-1.40342308925701e-06
